Pair,SSIM,Category,Sub-Category,Timestamp
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/contour-plots/fcontour/plot_8_0_add_title_and_axis_labels_and_format_ticks_ERROR_CRASH__montage.png,-1.0,contour-plots,fcontour,2021-08-20 14:10:02
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/contour-plots/fcontour/plot_8_1_add_title_and_axis_labels_and_format_ticks_ERROR_CRASH__montage.png,-1.0,contour-plots,fcontour,2021-08-20 14:10:03
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/data-distribution-plots/heatmap/plot_0_0_create_heatmap_from_tabular_data_ERROR_CRASH__montage.png,-1.0,data-distribution-plots,heatmap,2021-08-20 14:10:06
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/data-distribution-plots/heatmap/plot_1_0_reorder_heatmap_labels_ERROR_CRASH__montage.png,-1.0,data-distribution-plots,heatmap,2021-08-20 14:10:06
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/data-distribution-plots/heatmap/plot_1_1_reorder_heatmap_labels_ERROR_CRASH__montage.png,-1.0,data-distribution-plots,heatmap,2021-08-20 14:10:06
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/data-distribution-plots/heatmap/plot_2_0_specify_table_variable_for_heatmap_colors_ERROR_CRASH__montage.png,-1.0,data-distribution-plots,heatmap,2021-08-20 14:10:06
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/data-distribution-plots/heatmap/plot_3_0_specify_calculation_method_for_color_data_ERROR_CRASH__montage.png,-1.0,data-distribution-plots,heatmap,2021-08-20 14:10:06
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/data-distribution-plots/heatmap/plot_5_0_create_heatmap_from_matrix_data_using_custom_axis_l_ERROR_CRASH__montage.png,-1.0,data-distribution-plots,heatmap,2021-08-20 14:10:07
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/data-distribution-plots/heatmap/plot_6_0_normalize_colors_along_each_row_or_column_ERROR_CRASH__montage.png,-1.0,data-distribution-plots,heatmap,2021-08-20 14:10:07
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/data-distribution-plots/heatmap/plot_6_1_normalize_colors_along_each_row_or_column_ERROR_CRASH__montage.png,-1.0,data-distribution-plots,heatmap,2021-08-20 14:10:07
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/data-distribution-plots/wordcloud/plot_0_0_create_word_cloud_from_table_ERROR_CRASH__montage.png,-1.0,data-distribution-plots,wordcloud,2021-08-20 14:10:49
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/data-distribution-plots/wordcloud/plot_1_0_prepare_text_data_for_word_clouds_ERROR_CRASH__montage.png,-1.0,data-distribution-plots,wordcloud,2021-08-20 14:10:50
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/data-distribution-plots/wordcloud/plot_2_0_specify_word_sizes_ERROR_CRASH__montage.png,-1.0,data-distribution-plots,wordcloud,2021-08-20 14:10:50
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/data-distribution-plots/wordcloud/plot_3_0_specify_word_colors_ERROR_CRASH__montage.png,-1.0,data-distribution-plots,wordcloud,2021-08-20 14:10:50
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/discrete-data-plots/pareto/plot_0_0_create_pareto_chart_ERROR_CRASH__montage.png,-1.0,discrete-data-plots,pareto,2021-08-20 14:11:06
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/discrete-data-plots/pareto/plot_1_0_label_bars_in_pareto_chart_ERROR_CRASH__montage.png,-1.0,discrete-data-plots,pareto,2021-08-20 14:11:06
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/discrete-data-plots/pareto/plot_2_0_display_all_the_values_in_the_cumulative_distributi_ERROR_CRASH__montage.png,-1.0,discrete-data-plots,pareto,2021-08-20 14:11:06
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/line-plots/fplot/plot_6_0_add_title_and_axis_labels_and_format_ticks_ERROR_CRASH__montage.png,-1.0,line-plots,fplot,2021-08-20 14:11:45
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/line-plots/fplot/plot_6_1_add_title_and_axis_labels_and_format_ticks_ERROR_CRASH__montage.png,-1.0,line-plots,fplot,2021-08-20 14:11:46
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/line-plots/plot/plot_8_0_plot_durations_and_specify_tick_format_ERROR_CRASH__montage.png,-1.0,line-plots,plot,2021-08-20 14:11:55
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/line-plots/stackedplot/plot_5_0_specify_title_and_labels_using_name_value_pairs_ERROR_CRASH__montage.png,-1.0,line-plots,stackedplot,2021-08-20 14:12:12
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/surface-and-mesh-plots/fimplicit3/plot_3_0_modify_implicit_surface_after_creation_ERROR_CRASH__montage.png,-1.0,surface-and-mesh-plots,fimplicit3,2021-08-20 14:12:59
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/surface-and-mesh-plots/fimplicit3/plot_3_1_modify_implicit_surface_after_creation_ERROR_CRASH__montage.png,-1.0,surface-and-mesh-plots,fimplicit3,2021-08-20 14:12:59
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/surface-and-mesh-plots/fsurf/plot_3_0_add_title_and_axis_labels_and_format_ticks_ERROR_CRASH__montage.png,-1.0,surface-and-mesh-plots,fsurf,2021-08-20 14:13:01
